URL,SIZE,NO. OF OUTLINKS,CONTENT_TYPE
http://www.nbcnews.com/news/us-news/shepersisted-social-media-rallies-behind-elizabeth-warren-n718451,115954,118,text/html; charset=utf-8
http://www.nbcnews.com/nightly-news/video/the-future-of-pres-elect-trump-s-tweeting-when-he-is-president-858615363770,507579,170,text/html; charset=utf-8
http://www.nbcnews.com/video/hot-toys-go-high-tech-817364035924,320797,140,text/html; charset=utf-8
http://www.nbcnews.com/tech/innovation/ok-google-talk-nbc-news-n696081,78235,82,text/html; charset=utf-8
http://www.nbcnews.com/pop-culture/movies/best-pop-culture-picks-post-election-detox-n685326,96539,103,text/html; charset=utf-8
http://www.nbcnews.com/tech/apple/happy-10th-birthday-iphone-what-s-next-n704766,93764,84,text/html; charset=utf-8
http://www.nbcnews.com/video/trump-responds-to-biden-s-take-trump-to-behind-the-gym-remark-793520707626,323648,140,text/html; charset=utf-8
http://www.nbcnews.com/tech/apple/so-what-would-apple-car-look-anyway-n692316,85016,82,text/html; charset=utf-8
http://www.nbcnews.com/news/latino/holiday-gift-guide-here-s-some-great-latino-books-kids-n692021,117568,132,text/html; charset=utf-8
http://www.nbcnews.com/tech/social-media/no-trump-bump-twitter-revenue-report-falls-short-bigly-n718741,85129,81,text/html; charset=utf-8
http://www.nbcnews.com/science/science-news,115697,122,text/html; charset=utf-8
http://www.nbcnews.com/tech/gift-guide/tech-gift-guide-what-buy-pet-lover-n686836,87208,83,text/html; charset=utf-8
http://www.nbcnews.com/tech/apple/consumer-reports-fails-give-macbook-pro-thumbs-n699466,82780,80,text/html; charset=utf-8
http://www.nbcnews.com/nightly-news/video/apple-sued-over-fatal-crash-involving-facetime-app-846051907705,506620,170,text/html; charset=utf-8
http://www.nbcnews.com/tech/gadgets/easy-way-make-your-house-or-apartment-smart-home-n667661,98794,100,text/html; charset=utf-8
http://www.nbcnews.com/tech/apple/how-apple-lost-its-luster-2016-n705446,98309,88,text/html; charset=utf-8
http://www.nbcnews.com/tech/innovation/driverless-cars-moral-dilemma-who-lives-who-dies-n708276,105105,93,text/html; charset=utf-8
http://www.nbcnews.com/video/scientists-feeling-frothy-about-perfect-soap-805429827769,322040,140,text/html; charset=utf-8
http://www.nbcnews.com/video/the-secret-algorithm-fueling-facebook-809561667838,322644,140,text/html; charset=utf-8
http://www.nbcnews.com/feature/nbc-out/amp/outfront-stillbisexual-campaign-founder-fights-bi-visibility-n721736,42260,22,text/html; charset=utf-8
http://www.nbcnews.com/feature/nbc-out/amp/new-series-other-boys-shines-spotlight-lgbtq-men-color-n722231,41894,21,text/html; charset=utf-8
http://www.nbcnews.com/business/retirement/here-s-how-much-average-single-person-saved-retirement-n650651,87063,90,text/html; charset=utf-8
http://www.nbcnews.com/business/consumer/amp/who-will-end-your-parents-stuff-if-it-s-you-n721646,44071,25,text/html; charset=utf-8
http://www.nbcnews.com/news/asian-america/new-smithsonian-digital-exhibition-honors-nisei-wwii-veterans-n572816,89665,89,text/html; charset=utf-8
http://www.nbcnews.com/news/asian-america/amp/new-film-explores-formation-u-s-military-s-most-decorated-n721986,37900,30,text/html; charset=utf-8
http://www.nbcnews.com/storyline/brexit-referendum/amp/tony-blair-says-britain-should-rise-against-brexit-n722371,38560,23,text/html; charset=utf-8
http://www.nbcnews.com/news/us-news/officials-could-present-trump-proposal-send-more-troops-syria-n722046,101827,85,text/html; charset=utf-8
http://www.nbcnews.com/news/us-news/amazing-old-man-disguise-helped-31-year-old-fugitive-evade-n636231,89250,92,text/html; charset=utf-8
http://www.nbcnews.com/news/us-news/california-dreamin-many-golden-state-want-secede-trump-s-u-n681796,104573,106,text/html; charset=utf-8
http://www.nbcnews.com/news/us-news/namaste-women-defend-wearing-yoga-pants-peaceful-parade-n671471,83860,79,text/html; charset=utf-8
http://www.nbcnews.com/news/world/barking-dog-found-alive-rubble-9-days-after-italy-earthquake-n642351,91032,85,text/html; charset=utf-8
http://www.nbcnews.com/news/world/controversial-mcdonald-s-opens-vatican-building-wi-fi-available-n702166,87929,88,text/html; charset=utf-8
http://www.nbcnews.com/pop-culture/awards/nobel-academy-says-it-can-t-find-bob-dylan-give-n667996,88601,86,text/html; charset=utf-8
http://www.nbcnews.com/storyline/2016-presidential-debates/13-presidential-debate-moments-internet-loved-n655126,121205,103,text/html; charset=utf-8
http://www.nbcnews.com/video/canadian-police-officer-busts-a-move-with-dance-troupe-872482371815,322412,140,text/html; charset=utf-8
http://www.nbcnews.com/news/us-news/women-share-sexual-abuse-stories-after-kelly-oxford-s-call-n662531,98341,91,text/html; charset=utf-8
http://www.nbcnews.com/storyline/2016-presidential-debates,375323,233,text/html; charset=utf-8
http://www.nbcnews.com/pop-culture/movies/pixar-s-one-world-theory-all-movies-are-connected-n708621,87671,88,text/html; charset=utf-8
http://www.nbcnews.com/storyline/2016-presidential-debates/final-presidential-debate-11-moments-internet-went-wild-n669816,199367,131,text/html; charset=utf-8
http://www.nbcnews.com/video/alec-baldwin-set-to-break-record-hosting-snl-17-times-874601027750,323148,140,text/html; charset=utf-8
http://www.nbcnews.com/pop-culture/music/randy-travis-stuns-country-hall-fame-crowd-singing-3-years-n667416,93827,89,text/html; charset=utf-8
http://www.nbcnews.com/video/pepe-the-frog-s-journey-from-internet-meme-to-hate-symbol-775221315957,322818,140,text/html; charset=utf-8
http://www.nbcnews.com/news/us-news/ambushed-arizona-trooper-saved-passing-motorist-who-shot-attacker-dead-n706381,103345,96,text/html; charset=utf-8
http://www.nbcnews.com/politics/2016-election/bad-hombres-puppets-best-memes-presidential-debate-3-n669946,109473,122,text/html; charset=utf-8
http://www.nbcnews.com/politics/congress/amp/here-s-how-congress-handling-russia-investigations-n722661,51354,32,text/html; charset=utf-8
http://www.nbcnews.com/politics/politics-news/two-house-chairmen-ask-justice-department-probe-over-flynn-leaks-n721581,119380,104,text/html; charset=utf-8
http://www.nbcnews.com/politics/politics-news/congressional-republicans-resist-calls-independent-flynn-investigation-n720666,134079,101,text/html; charset=utf-8
http://www.nbcnews.com/politics/congress/despite-democratic-objections-senate-set-vote-pruitt-run-epa-n722491,107031,90,text/html; charset=utf-8
http://www.nbcnews.com/mach/space/amp/dwarf-planet-has-life-s-building-blocks-nasa-probe-shows-n722381,42425,30,text/html; charset=utf-8
http://www.nbcnews.com/science/space,125774,133,text/html; charset=utf-8
http://www.nbcnews.com/feature/nbc-out/nation-s-first-known-intersex-birth-certificate-issued-nyc-n701186,93436,91,text/html; charset=utf-8
http://www.nbcnews.com/feature/nbc-out/amp/court-ruling-raises-number-legally-nonbinary-californians-seven-n721676,37871,27,text/html; charset=utf-8
http://www.nbcnews.com/feature/nbc-out/californian-becomes-second-us-citizen-granted-non-binary-gender-status-n654611,91144,87,text/html; charset=utf-8
http://www.nbcnews.com/feature/nbc-out/movement-third-gender-option-exploding-u-s-n696446,97548,91,text/html; charset=utf-8
http://www.nbcnews.com/news/us-news/controversial-wrestler-jimmy-superfly-snuka-dead-73-n707151,88396,85,text/html; charset=utf-8
http://www.nbcnews.com/pop-culture/celebrity/amp/george-animal-steele-wwe-star-dies-79-n722536,37205,23,text/html; charset=utf-8
http://www.nbcnews.com/news/us-news/legendary-professional-wrestler-chyna-joanie-laurer-dies-46-n559576,92717,83,text/html; charset=utf-8
http://www.nbcnews.com/politics/donald-trump/amp/not-my-president-s-day-thousands-plan-anti-trump-rallies-n722586,47414,40,text/html; charset=utf-8
http://www.nbcnews.com/news/asian-america/jeremy-lin-president-obama-join-celebrity-filled-anti-bullying-album-n701021,100360,96,text/html; charset=utf-8
http://www.nbcnews.com/news/asian-america/obama-asian-american-community-you-are-part-lifeblood-nation-n567526,101783,106,text/html; charset=utf-8
http://www.nbcnews.com/news/asian-america/education-secretary-co-chair-white-house-initiative-asian-americans-pacific-n548076,87784,86,text/html; charset=utf-8
http://www.nbcnews.com/news/asian-america/laos-dc-doua-thor-talks-refugee-story-public-service-power-n501336,104557,109,text/html; charset=utf-8
http://www.nbcnews.com/news/asian-america/white-house-hosts-first-ever-summit-asian-americans-n357666,93463,86,text/html; charset=utf-8
http://www.nbcnews.com/news/asian-america/amp/10-resign-president-s-advisory-commission-asian-americans-pacific-islanders-n721386,46916,38,text/html; charset=utf-8
http://www.nbcnews.com/video/ashton-kutcher-every-citizen-has-a-right-to-pursue-happiness-877985347688,323022,140,text/html; charset=utf-8
http://www.nbcnews.com/pop-culture/books/watership-down-author-richard-adams-dies-age-96-n700651,85795,83,text/html; charset=utf-8
http://www.nbcnews.com/pop-culture/awards/trump-immigration-ban-sag-awards-winners-condemn-president-n714001,113116,97,text/html; charset=utf-8
http://www.nbcnews.com/pop-culture/movies/5-biggest-golden-globes-takeaways-trump-oscars-race-n704596,104209,105,text/html; charset=utf-8
http://www.nbcnews.com/pop-culture/movies/thanksgiving-weekend-stuffed-pop-culture-comebacks-n686711,114354,98,text/html; charset=utf-8
http://www.nbcnews.com/news/nbcblk/book-review-another-brooklyn-n650321,90175,84,text/html; charset=utf-8
http://www.nbcnews.com/news/us-news/madam-president-newsweek-copies-sale-online-buyer-beware-n690411,95919,90,text/html; charset=utf-8
http://www.nbcnews.com/pop-culture/books,126470,135,text/html; charset=utf-8
http://www.nbcnews.com/video/families-fear-wall-will-tear-them-apart-863716931957,321947,140,text/html; charset=utf-8
http://www.nbcnews.com/slideshow/141st-westminster-kennel-club-dog-show-n720746,94487,73,text/html; charset=utf-8
http://www.nbcnews.com/news/world/trump-s-wall-only-one-potential-option-border-n708281,128859,105,text/html; charset=utf-8
http://www.nbcnews.com/slideshow/met-digitizes-its-collection-releasing-350-00-images-free-n719661,102920,72,text/html; charset=utf-8
http://www.nbcnews.com/slideshow/five-time-super-bowl-champs-parade-boston-n717916,83531,74,text/html; charset=utf-8
http://www.nbcnews.com/slideshow/d-c-sydney-christmas-festivities-around-world-n700016,93693,79,text/html; charset=utf-8
http://www.nbcnews.com/video/child-women-reportedly-killed-as-airstrike-hits-funeral-878613059847,322501,140,text/html; charset=utf-8
http://www.nbcnews.com/news/china,127449,125,text/html; charset=utf-8
http://www.nbcnews.com/news/world/pope-francis-new-year-address-says-terrorism-casts-bloodstain-over-n702001,83348,79,text/html; charset=utf-8
http://www.nbcnews.com/video/woman-buried-in-collapsed-building-rescued-after-phoning-daughter-868871747701,322983,140,text/html; charset=utf-8
http://www.nbcnews.com/news/latino/trump-could-give-momentum-mexico-s-leftist-presidential-candidate-n717196,134407,119,text/html; charset=utf-8
